gene_id,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mmus_C57-6J_KDN_FLT_Rep3_M25,Mmus_C57-6J_KDN_FLT_Rep4_M26,Mmus_C57-6J_KDN_FLT_Rep5_M27,Mmus_C57-6J_KDN_FLT_Rep6_M28,Mmus_C57-6J_KDN_GC_Rep1_M33,Mmus_C57-6J_KDN_GC_Rep2_M34,Mmus_C57-6J_KDN_GC_Rep3_M35,Mmus_C57-6J_KDN_GC_Rep4_M36,Mmus_C57-6J_KDN_GC_Rep5_M37,Mmus_C57-6J_KDN_GC_Rep6_M38
ENSMUSG00000049411,259.1610544,432.4443556,301.1512184,307.1265171,360.0432205,291.7512288,262.228601,269.6827288,333.5655945,351.0134566,521.4751666,292.5847424
ENSMUSG00000049414,61.73541536,40.91729009,49.85415977,36.33603113,45.07450288,68.47650281,43.56161489,49.68176369,64.6020976,55.33117024,38.82410996,50.59928959
ENSMUSG00000049420,10.01426724,7.461569015,20.29061433,22.40599709,14.20850508,14.096381,12.2692587,21.60988458,16.90028907,9.381229606,43.58776403,15.77277334
ENSMUSG00000049421,1122.820267,1294.42992,1248.460713,1180.589016,1005.554703,1175.171896,1273.239005,1110.2069,1184.258113,1066.126866,1194.481928,1098.975708
ENSMUSG00000049422,13393.99926,12510.77033,10295.77392,10669.8938,10256.12927,9566.765102,9984.524926,10218.19767,11791.00022,10493.54528,10800.53329,9442.228912
ENSMUSG00000049436,173.8224806,195.4046606,260.3217724,94.8181488,171.8599158,248.6023145,205.0308846,277.3759224,150.8758793,342.6041919,159.0795297,109.8136358
ENSMUSG00000049439,755.7656493,788.5732151,636.7615813,664.1077359,809.2388253,797.3759742,778.7109443,804.4842662,769.4926088,875.0837576,753.2821853,657.0868551
ENSMUSG00000049470,9846.647398,10415.17413,9382.966435,8919.739186,10455.45131,8455.924571,10154.85915,10122.86729,10090.63982,9198.199519,9987.479986,9281.221432
ENSMUSG00000049476,0,0.918993876,1.884584021,0.854357204,4.200643811,1.144033867,0.875430769,2.338937425,0,1.609226331,1.142212375,5.807614416
ENSMUSG00000049482,314.3209124,200.1544869,209.9630256,343.0405965,191.1012556,270.9335323,274.7718125,266.7855109,241.0193161,400.1859861,210.9428744,236.1728727
ENSMUSG00000049488,310.4825106,319.7010199,324.112361,310.573965,330.8606018,317.6204397,317.175914,322.6172956,349.5575206,380.4915477,383.1357713,334.0308484
ENSMUSG00000049489,382.5197389,320.7262199,357.0310553,349.4684725,393.7194076,401.4132072,366.6993198,346.2685969,391.6261968,328.2323491,366.6695201,361.9120326
ENSMUSG00000049493,2578.436339,2145.621409,2211.602867,2461.271627,1987.583479,2079.856318,1950.780466,1901.349643,2335.904402,2305.033501,2579.330999,2137.178975
ENSMUSG00000049502,873.258884,915.422031,951.1111313,1805.37394,1040.124997,1060.056777,1051.164226,1108.387131,869.2584572,936.8603324,920.7032749,1189.106998
ENSMUSG00000049504,786.7318302,874.2791887,726.1253341,862.5722627,891.4771764,792.2354911,864.3910735,825.6210549,724.0218795,855.6696834,789.2488467,978.4741436
ENSMUSG00000049511,290.8291662,90.64471532,193.1650608,260.6728851,279.0615172,197.6001785,409.2247094,165.0001412,247.5896363,161.3402857,352.3362378,175.2165902
ENSMUSG00000049515,14.82845116,8.644818358,15.96431161,14.22570616,22.69375707,22.28165489,19.41869539,11.89574862,14.54561384,16.05195599,19.17384852,22.43448829
ENSMUSG00000049516,1891.940437,1820.570591,1492.457519,1841.493909,1603.807854,1713.361657,1683.546155,1885.888826,1710.073406,1678.212384,1674.172702,1646.690283
ENSMUSG00000049517,5809.200931,5782.70944,5736.703065,5263.41148,5427.979822,5602.433226,5826.275061,6289.964229,6823.89375,6300.882225,5993.214326,5542.047476
ENSMUSG00000049521,1411.166481,1701.580819,1448.02889,1502.080069,1373.361617,1666.511621,1584.566125,1811.503938,1429.465037,1559.373281,1457.519199,1593.675746
ENSMUSG00000049526,5.230083663,1.102505593,7.329935846,1.021069074,6.277439121,2.965751115,3.139977961,8.089706656,7.317891304,2.723561364,3.925926856,0
ENSMUSG00000049532,1092.303075,1337.705639,859.5689555,1534.386616,1042.891251,1171.26327,1028.960203,1224.47997,1342.756821,1298.044946,1242.356358,1328.475763
ENSMUSG00000049536,109.0544644,118.2072593,110.3830466,113.2372166,80.29053084,113.9762299,122.4489356,118.6650042,103.3811159,96.49069551,93.06958455,88.6448132
ENSMUSG00000049538,127.3581969,188.331454,172.5365782,153.856314,158.8073893,196.9231877,169.6483546,119.3458938,144.1234395,149.7619212,154.2160641,228.2122347
ENSMUSG00000049539,303.4608804,352.3250018,446.6696998,342.9399121,279.1745143,443.5580155,212.7512085,380.1772027,230.3357949,329.8572137,139.9129017,365.3387104
